Back,"Table 2. Human Development Index trends, 1990-2019",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Human Development Index (HDI) ,,,,,,,,,,,,,,,,Change in HDI rank ,,Average annual HDI growth,,,,,,
83,Colombia,0.603,,0.666,,0.729,,0.753,,0.756,,0.763,,0.764,,0.767,,2,,1,,0.91,,0.57,,0.83
84,Brazil,0.613,,0.685,,0.727,,0.756,,0.756,,0.761,,0.762,,0.765,,-2,,1.12,,0.6,,0.57,,0.77
85,China,0.499,,0.588,,0.699,,0.731,,0.739,,0.75,,0.755,,0.761,,12,,1.65,,1.74,,0.95,,1.47
86,Ecuador,0.648,,0.675,,0.726,,0.756,,0.764,,0.76,,0.762,,0.759,,-4,,0.41,,0.73,,0.5,,0.55
86,Saint Lucia,..,,0.695,,0.73,,0.735,,0.747,,0.759,,0.758,,0.759,,6,,..,,0.49,,0.43,,..
88,Azerbaijan,..,,0.635,,0.726,,0.74,,0.744,,0.754,,0.754,,0.756,,1,,..,,1.35,,0.45,,..
88,Dominican Republic,0.599,,0.659,,0.706,,0.73,,0.738,,0.746,,0.751,,0.756,,10,,0.96,,0.69,,0.76,,0.81
90,Moldova (Republic of),0.69,,0.643,,0.713,,0.737,,0.736,,0.743,,0.746,,0.75,,0,,-0.7,,1.04,,0.56,,0.29
91,Algeria,0.572,,0.637,,0.721,,0.736,,0.74,,0.745,,0.746,,0.748,,0,,1.08,,1.25,,0.41,,0.93
92,Lebanon,..,,..,,0.766,,0.748,,0.744,,0.748,,0.747,,0.744,,-6,,..,,..,,-0.32,,..
93,Fiji,0.662,,0.695,,0.715,,0.733,,0.737,,0.74,,0.742,,0.743,,1,,0.49,,0.28,,0.43,,0.4
94,Dominica,..,,0.703,,0.74,,0.741,,0.739,,0.736,,0.738,,0.742,,-6,,..,,0.51,,0.03,,..
95,Maldives,..,,0.622,,0.685,,0.718,,0.724,,0.731,,0.734,,0.74,,8,,..,,0.97,,0.86,,..
95,Tunisia,0.567,,0.651,,0.716,,0.726,,0.729,,0.734,,0.738,,0.74,,7,,1.39,,0.96,,0.37,,0.92
97,Saint Vincent and the Grenadines,..,,0.681,,0.718,,0.733,,0.733,,0.734,,0.736,,0.738,,-3,,..,,0.53,,0.31,,..
97,Suriname,..,,..,,0.71,,0.735,,0.74,,0.732,,0.734,,0.738,,-5,,..,,..,,0.43,,..
99,Mongolia,0.578,,0.588,,0.696,,0.732,,0.735,,0.728,,0.735,,0.737,,-3,,0.17,,1.7,,0.64,,0.84
100,Botswana,0.573,,0.581,,0.663,,0.711,,0.717,,0.726,,0.73,,0.735,,5,,0.14,,1.33,,1.15,,0.86
101,Jamaica,0.645,,0.678,,0.732,,0.729,,0.731,,0.734,,0.734,,0.734,,-2,,0.5,,0.77,,0.03,,0.45
102,Jordan,0.625,,0.711,,0.737,,0.729,,0.73,,0.726,,0.728,,0.729,,-3,,1.3,,0.36,,-0.12,,0.53
103,Paraguay,0.598,,0.643,,0.696,,0.715,,0.721,,0.726,,0.727,,0.728,,1,,0.73,,0.8,,0.5,,0.68
104,Tonga,0.654,,0.675,,0.699,,0.707,,0.72,,0.723,,0.723,,0.725,,2,,0.32,,0.35,,0.41,,0.36
105,Libya,0.724,,0.78,,0.798,,0.728,,0.697,,0.714,,0.721,,0.724,,-4,,0.75,,0.23,,-1.08,,0
106,Uzbekistan,..,,0.599,,0.669,,0.696,,0.701,,0.713,,0.717,,0.72,,4,,..,,1.11,,0.82,,..
107,Bolivia (Plurinational State of),0.551,,0.627,,0.667,,0.69,,0.697,,0.71,,0.714,,0.718,,6,,1.3,,0.62,,0.82,,0.92
107,Indonesia,0.523,,0.603,,0.665,,0.69,,0.695,,0.707,,0.712,,0.718,,6,,1.43,,0.98,,0.86,,1.1
107,Philippines,0.593,,0.632,,0.671,,0.696,,0.701,,0.708,,0.711,,0.718,,3,,0.64,,0.6,,0.76,,0.66
110,Belize,0.61,,0.64,,0.695,,0.705,,0.71,,0.714,,0.714,,0.716,,-3,,0.48,,0.83,,0.33,,0.55
111,Samoa,0.633,,0.651,,0.698,,0.703,,0.707,,0.71,,0.709,,0.715,,-3,,0.28,,0.7,,0.27,,0.42
111,Turkmenistan,..,,..,,0.666,,0.689,,0.694,,0.701,,0.71,,0.715,,4,,..,,..,,0.79,,..
113,Venezuela (Bolivarian Republic of),0.644,,0.676,,0.757,,0.775,,0.769,,0.743,,0.733,,0.711,,-44,,0.49,,1.14,,-0.69,,0.34
114,South Africa,0.627,,0.631,,0.664,,0.693,,0.701,,0.705,,0.707,,0.709,,-2,,0.06,,0.51,,0.73,,0.42
115,"Palestine, State of",..,,..,,0.684,,0.697,,0.701,,0.706,,0.708,,0.708,,-6,,..,,..,,0.38,,..
116,Egypt,0.548,,0.613,,0.668,,0.685,,0.691,,0.698,,0.701,,0.707,,1,,1.13,,0.86,,0.63,,0.88
117,Marshall Islands,..,,..,,..,,..,,..,,0.699,,0.702,,0.704,,..,,..,,..,,..,,..
117,Viet Nam,0.483,,0.586,,0.661,,0.683,,0.688,,0.696,,0.7,,0.704,,1,,1.95,,1.21,,0.7,,1.31
119,Gabon,0.613,,0.621,,0.652,,0.682,,0.685,,0.694,,0.697,,0.703,,0,,0.13,,0.49,,0.84,,0.47
,MEDIUM HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,
120,Kyrgyzstan,0.64,,0.62,,0.662,,0.686,,0.69,,0.694,,0.696,,0.697,,-4,,-0.32,,0.66,,0.57,,0.29
121,Morocco,0.457,,0.529,,0.616,,0.652,,0.658,,0.673,,0.68,,0.686,,2,,1.47,,1.53,,1.2,,1.41
122,Guyana,0.548,,0.616,,0.649,,0.671,,0.674,,0.677,,0.68,,0.682,,-2,,1.18,,0.52,,0.55,,0.76
123,Iraq,0.56,,0.595,,0.636,,0.645,,0.649,,0.667,,0.671,,0.674,,4,,0.61,,0.67,,0.65,,0.64
124,El Salvador,0.536,,0.615,,0.668,,0.668,,0.668,,0.671,,0.67,,0.673,,-3,,1.38,,0.83,,0.08,,0.79
125,Tajikistan,0.617,,0.555,,0.638,,0.652,,0.652,,0.657,,0.661,,0.668,,-2,,-1.05,,1.4,,0.51,,0.27
126,Cabo Verde,..,,0.569,,0.632,,0.654,,0.656,,0.66,,0.663,,0.665,,-4,,..,,1.06,,0.57,,..
127,Guatemala,0.481,,0.549,,0.606,,0.648,,0.652,,0.655,,0.657,,0.663,,-1,,1.33,,0.99,,1,,1.11
128,Nicaragua,0.497,,0.577,,0.622,,0.649,,0.652,,0.661,,0.659,,0.66,,-3,,1.5,,0.75,,0.66,,0.98
129,Bhutan,..,,..,,0.574,,0.618,,0.628,,0.646,,0.649,,0.654,,1,,..,,..,,1.46,,..
130,Namibia,0.581,,0.544,,0.589,,0.631,,0.638,,0.644,,0.645,,0.646,,-2,,-0.66,,0.8,,1.03,,0.37
131,India,0.429,,0.495,,0.579,,0.616,,0.624,,0.64,,0.642,,0.645,,1,,1.44,,1.58,,1.21,,1.42
132,Honduras,0.519,,0.566,,0.61,,0.616,,0.618,,0.63,,0.633,,0.634,,0,,0.87,,0.75,,0.43,,0.69
133,Bangladesh,0.394,,0.478,,0.557,,0.579,,0.595,,0.616,,0.625,,0.632,,8,,1.95,,1.54,,1.41,,1.64
134,Kiribati,..,,0.553,,0.593,,0.617,,0.625,,0.627,,0.628,,0.63,,-3,,..,,0.7,,0.67,,..
135,Sao Tome and Principe,0.452,,0.498,,0.561,,0.591,,0.604,,0.619,,0.624,,0.625,,1,,0.97,,1.2,,1.21,,1.12
136,Micronesia (Federated States of),..,,0.546,,0.601,,0.604,,0.612,,0.616,,0.618,,0.62,,-2,,..,,0.96,,0.35,,..
137,Lao People's Democratic Republic,0.405,,0.471,,0.552,,0.589,,0.598,,0.608,,0.609,,0.613,,1,,1.52,,1.6,,1.17,,1.44
138,Eswatini (Kingdom of),0.541,,0.465,,0.51,,0.568,,0.581,,0.597,,0.605,,0.611,,5,,-1.5,,0.93,,2.03,,0.42
138,Ghana,0.465,,0.494,,0.565,,0.59,,0.59,,0.602,,0.606,,0.611,,-1,,0.61,,1.35,,0.87,,0.95
140,Vanuatu,..,,..,,0.59,,0.594,,0.598,,0.601,,0.603,,0.609,,-5,,..,,..,,0.35,,..
141,Timor-Leste,..,,0.484,,0.628,,0.62,,0.61,,0.599,,0.599,,0.606,,-12,,..,,2.64,,-0.4,,..
142,Nepal,0.387,,0.453,,0.537,,0.576,,0.583,,0.588,,0.596,,0.602,,0,,1.59,,1.72,,1.28,,1.54
143,Kenya,0.482,,0.461,,0.551,,0.58,,0.587,,0.595,,0.599,,0.601,,-3,,-0.44,,1.8,,0.97,,0.76
144,Cambodia,0.368,,0.424,,0.539,,0.565,,0.57,,0.582,,0.585,,0.594,,0,,1.43,,2.43,,1.09,,1.66
145,Equatorial Guinea,..,,0.525,,0.576,,0.586,,0.589,,0.584,,0.582,,0.592,,-6,,..,,0.93,,0.3,,..
146,Zambia,0.421,,0.425,,0.527,,0.561,,0.569,,0.578,,0.582,,0.584,,0,,0.09,,2.17,,1.15,,1.13
147,Myanmar,0.342,,0.414,,0.515,,0.55,,0.557,,0.572,,0.579,,0.583,,3,,1.93,,2.21,,1.39,,1.86
148,Angola,..,,0.4,,0.517,,0.565,,0.572,,0.582,,0.582,,0.581,,-4,,..,,2.6,,1.31,,..
149,Congo,0.5,,0.461,,0.52,,0.56,,0.58,,0.574,,0.573,,0.574,,-2,,-0.81,,1.21,,1.1,,0.48
150,Zimbabwe,0.478,,0.43,,0.482,,0.547,,0.553,,0.563,,0.569,,0.571,,1,,-1.05,,1.15,,1.9,,0.61
151,Solomon Islands,..,,0.475,,0.537,,0.559,,0.563,,0.562,,0.564,,0.567,,-3,,..,,1.23,,0.61,,..
151,Syrian Arab Republic,0.55,,0.6,,0.672,,0.556,,0.537,,0.564,,0.563,,0.567,,-2,,0.87,,1.14,,-1.87,,0.11
153,Cameroon,0.448,,0.44,,0.505,,0.54,,0.549,,0.557,,0.56,,0.563,,1,,-0.18,,1.39,,1.22,,0.79
154,Pakistan,0.402,,0.447,,0.512,,0.53,,0.536,,0.55,,0.552,,0.557,,2,,1.07,,1.37,,0.94,,1.13
155,Papua New Guinea,0.38,,0.45,,0.522,,0.542,,0.548,,0.549,,0.549,,0.555,,-2,,1.71,,1.5,,0.68,,1.31
156,Comoros,..,,0.465,,0.521,,0.543,,0.545,,0.55,,0.552,,0.554,,-4,,..,,1.14,,0.68,,..
,LOW HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,
157,Mauritania,0.397,,0.464,,0.505,,0.531,,0.536,,0.54,,0.542,,0.546,,-2,,1.57,,0.85,,0.87,,1.1
158,Benin,0.364,,0.416,,0.494,,0.527,,0.532,,0.536,,0.541,,0.545,,-1,,1.34,,1.73,,1.1,,1.4
159,Uganda,0.32,,0.404,,0.498,,0.519,,0.525,,0.532,,0.538,,0.544,,2,,2.36,,2.11,,0.99,,1.85
160,Rwanda,0.248,,0.341,,0.492,,0.521,,0.526,,0.535,,0.54,,0.543,,-1,,3.24,,3.73,,1.1,,2.74
161,Nigeria,..,,..,,0.482,,0.523,,0.526,,0.531,,0.534,,0.539,,-3,,..,,..,,1.25,,..
162,Côte d'Ivoire,0.404,,0.421,,0.468,,0.492,,0.503,,0.525,,0.534,,0.538,,7,,0.41,,1.06,,1.56,,0.99
163,Tanzania (United Republic of),0.368,,0.39,,0.481,,0.504,,0.514,,0.523,,0.524,,0.529,,-1,,0.58,,2.12,,1.06,,1.26
164,Madagascar,..,,0.462,,0.511,,0.52,,0.522,,0.526,,0.527,,0.528,,-4,,..,,1.01,,0.36,,..
165,Lesotho,0.498,,0.459,,0.46,,0.498,,0.503,,0.517,,0.522,,0.527,,2,,-0.81,,0.02,,1.52,,0.2
166,Djibouti,..,,0.36,,0.454,,0.492,,0.499,,0.51,,0.518,,0.524,,3,,..,,2.35,,1.61,,..
167,Togo,0.406,,0.427,,0.466,,0.493,,0.499,,0.506,,0.51,,0.515,,1,,0.51,,0.88,,1.12,,0.82
168,Senegal,0.376,,0.39,,0.468,,0.499,,0.506,,0.512,,0.516,,0.512,,-3,,0.37,,1.84,,1,,1.07
169,Afghanistan,0.302,,0.35,,0.472,,0.5,,0.5,,0.506,,0.509,,0.511,,-5,,1.49,,3.04,,0.89,,1.83
170,Haiti,0.414,,0.442,,0.471,,0.492,,0.496,,0.505,,0.508,,0.51,,-1,,0.66,,0.64,,0.89,,0.72
170,Sudan,0.331,,0.403,,0.469,,0.499,,0.504,,0.509,,0.506,,0.51,,-5,,1.99,,1.53,,0.94,,1.5
172,Gambia,0.349,,0.403,,0.459,,0.468,,0.471,,0.48,,0.487,,0.496,,1,,1.45,,1.31,,0.87,,1.22
173,Ethiopia,..,,0.292,,0.421,,0.455,,0.462,,0.474,,0.478,,0.485,,5,,..,,3.73,,1.58,,..
174,Malawi,0.333,,0.388,,0.431,,0.465,,0.468,,0.473,,0.478,,0.483,,0,,1.54,,1.06,,1.27,,1.29
175,Congo (Democratic Republic of the),0.369,,0.349,,0.435,,0.46,,0.464,,0.475,,0.478,,0.48,,0,,-0.56,,2.23,,1.1,,0.91
175,Guinea-Bissau,..,,..,,0.436,,0.459,,0.464,,0.47,,0.472,,0.48,,1,,..,,..,,1.07,,..
175,Liberia,..,,0.435,,0.455,,0.478,,0.477,,0.481,,0.48,,0.48,,-3,,..,,0.45,,0.6,,..
178,Guinea,0.282,,0.34,,0.416,,0.452,,0.457,,0.471,,0.473,,0.477,,1,,1.89,,2.04,,1.53,,1.83
179,Yemen,0.401,,0.444,,0.506,,0.502,,0.483,,0.467,,0.468,,0.47,,-16,,1.02,,1.32,,-0.82,,0.55
180,Eritrea,..,,..,,0.436,,0.457,,0.454,,0.454,,0.456,,0.459,,-3,,..,,..,,0.57,,..
181,Mozambique,0.227,,0.307,,0.401,,0.425,,0.433,,0.446,,0.452,,0.456,,2,,3.07,,2.71,,1.44,,2.43
182,Burkina Faso,..,,0.293,,0.384,,0.413,,0.422,,0.439,,0.443,,0.452,,3,,..,,2.74,,1.83,,..
182,Sierra Leone,0.287,,0.295,,0.399,,0.438,,0.431,,0.443,,0.447,,0.452,,-2,,0.28,,3.07,,1.4,,1.58
184,Mali,0.234,,0.312,,0.408,,0.419,,0.417,,0.427,,0.431,,0.434,,0,,2.92,,2.72,,0.69,,2.15
185,Burundi,0.299,,0.3,,0.411,,0.438,,0.437,,0.434,,0.431,,0.433,,-5,,0.03,,3.2,,0.58,,1.29
185,South Sudan,..,,..,,0.41,,0.428,,0.425,,0.426,,0.429,,0.433,,-3,,..,,..,,0.61,,..
187,Chad,..,,0.293,,0.369,,0.401,,0.398,,0.396,,0.397,,0.398,,-1,,..,,2.33,,0.84,,..
188,Central African Republic,0.334,,0.325,,0.365,,0.368,,0.375,,0.391,,0.395,,0.397,,-1,,-0.27,,1.17,,0.94,,0.6
189,Niger,0.22,,0.262,,0.331,,0.365,,0.372,,0.386,,0.391,,0.394,,-1,,1.76,,2.37,,1.95,,2.03
,OTHER COUNTRIES OR TERRITORIES,,,,,,,,,,,,,,,,,,,,,,,,,
,Korea (Democratic People's Rep. of),..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
,Monaco,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
,Nauru,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
,San Marino,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
,Somalia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
,Tuvalu,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Human development groups,,,,,,,,,,,,,,,,,,,,,,,,,
